product_id	product_id	orbit_number	start_time	image_category	product_id
M101436435LE	M101436435LE	131	2009-07-05 12:32:47.806	NACL	M101436435LE
M101436435RE	M101436435RE	131	2009-07-05 12:32:47.806	NACR	M101436435RE
M101443601LE	M101443601LE	132	2009-07-05 14:32:14.556	NACL	M101443601LE
M101443601RE	M101443601RE	132	2009-07-05 14:32:14.556	NACR	M101443601RE
M101450758LE	M101450758LE	133	2009-07-05 16:31:30.876	NACL	M101450758LE
M101450758RE	M101450758RE	133	2009-07-05 16:31:30.876	NACR	M101450758RE
M102653114LE	M102653114LE	301	2009-07-19 14:30:46.595	NACL	M102653114LE
M102653114RE	M102653114RE	301	2009-07-19 14:30:46.595	NACR	M102653114RE
M102674601LE	M102674601LE	304	2009-07-19 20:28:54.199	NACL	M102674601LE
M102674601RE	M102674601RE	304	2009-07-19 20:28:54.199	NACR	M102674601RE
M102696041LE	M102696041LE	307	2009-07-20 02:26:14.737	NACL	M102696041LE
M102696041RE	M102696041RE	307	2009-07-20 02:26:14.737	NACR	M102696041RE
M102710360LE	M102710360LE	309	2009-07-20 06:24:54.418	NACL	M102710360LE
M102710360RE	M102710360RE	309	2009-07-20 06:24:54.418	NACR	M102710360RE
M102724680LE	M102724680LE	311	2009-07-20 10:23:34.41	NACL	M102724680LE
M102724680RE	M102724680RE	311	2009-07-20 10:23:34.41	NACR	M102724680RE
M102753353LE	M102753353LE	315	2009-07-20 18:21:27.281	NACL	M102753353LE
M102753353RE	M102753353RE	315	2009-07-20 18:21:27.281	NACR	M102753353RE
M102767672LE	M102767672LE	317	2009-07-20 22:20:06.272	NACL	M102767672LE
M102767672RE	M102767672RE	317	2009-07-20 22:20:06.272	NACR	M102767672RE
M1094702200LE	M1094702200LE	13706	2012-06-18 23:42:13.222	NACL	M1094702200LE
M1094702200RE	M1094702200RE	13706	2012-06-18 23:42:13.222	NACR	M1094702200RE
M1094709385LE	M1094709385LE	13707	2012-06-19 01:41:58.719	NACL	M1094709385LE
M1094709385RE	M1094709385RE	13707	2012-06-19 01:41:58.719	NACR	M1094709385RE
M1094716533LE	M1094716533LE	13708	2012-06-19 03:41:06.112	NACL	M1094716533LE
M1094716533RE	M1094716533RE	13708	2012-06-19 03:41:06.112	NACR	M1094716533RE
M1094745118LE	M1094745118LE	13712	2012-06-19 11:37:31.91	NACL	M1094745118LE
M1094745118RE	M1094745118RE	13712	2012-06-19 11:37:31.91	NACR	M1094745118RE
M1094752265LE	M1094752265LE	13713	2012-06-19 13:36:38.844	NACL	M1094752265LE
M1094752265RE	M1094752265RE	13713	2012-06-19 13:36:38.844	NACR	M1094752265RE
M1094759412LE	M1094759412LE	13714	2012-06-19 15:35:45.808	NACL	M1094759412LE
M1094759412RE	M1094759412RE	13714	2012-06-19 15:35:45.808	NACR	M1094759412RE
M1094766559LE	M1094766559LE	13715	2012-06-19 17:34:52.712	NACL	M1094766559LE
M1094766559RE	M1094766559RE	13715	2012-06-19 17:34:52.712	NACR	M1094766559RE
M1094773702LE	M1094773702LE	13716	2012-06-19 19:33:56.032	NACL	M1094773702LE
M1094773702RE	M1094773702RE	13716	2012-06-19 19:33:56.032	NACR	M1094773702RE
M1094780850LE	M1094780850LE	13717	2012-06-19 21:33:03.214	NACL	M1094780850LE
M1094780850RE	M1094780850RE	13717	2012-06-19 21:33:03.214	NACR	M1094780850RE
M1094787997LE	M1094787997LE	13718	2012-06-19 23:32:10.491	NACL	M1094787997LE
M1094787997RE	M1094787997RE	13718	2012-06-19 23:32:10.491	NACR	M1094787997RE
M1094816556LE	M1094816556LE	13722	2012-06-20 07:28:09.93	NACL	M1094816556LE
M1094816556RE	M1094816556RE	13722	2012-06-20 07:28:09.93	NACR	M1094816556RE
M1094823708LE	M1094823708LE	13723	2012-06-20 09:27:21.665	NACL	M1094823708LE
M1094823708RE	M1094823708RE	13723	2012-06-20 09:27:21.665	NACR	M1094823708RE
M1094830844LE	M1094830844LE	13724	2012-06-20 11:26:17.76	NACL	M1094830844LE
M1094830844RE	M1094830844RE	13724	2012-06-20 11:26:17.76	NACR	M1094830844RE
M1094837989LE	M1094837989LE	13725	2012-06-20 13:25:22.835	NACL	M1094837989LE
M1094837989RE	M1094837989RE	13725	2012-06-20 13:25:22.835	NACR	M1094837989RE
M1094845135LE	M1094845135LE	13726	2012-06-20 15:24:28.344	NACL	M1094845135LE
M1094845135RE	M1094845135RE	13726	2012-06-20 15:24:28.344	NACR	M1094845135RE
M1094852280LE	M1094852280LE	13727	2012-06-20 17:23:33.927	NACL	M1094852280LE
M1094852280RE	M1094852280RE	13727	2012-06-20 17:23:33.927	NACR	M1094852280RE
M1094966680LE	M1094966680LE	13743	2012-06-22 01:10:13.466	NACL	M1094966680LE
M1094966680RE	M1094966680RE	13743	2012-06-22 01:10:13.466	NACR	M1094966680RE
M1095667032RE	M1095667032RE	13841	2012-06-30 03:42:45.184	NACR	M1095667032RE
M1095674178LE	M1095674178LE	13842	2012-06-30 05:41:51.535	NACL	M1095674178LE
M1095674178RE	M1095674178RE	13842	2012-06-30 05:41:51.535	NACR	M1095674178RE
M1095681324LE	M1095681324LE	13843	2012-06-30 07:40:57.605	NACL	M1095681324LE
